headline,label
"bank credit up 6.74% at rs 102.69 trn; deposits grow 9.82% to rs 137.11 trn. in the year-ago fortnight, bank loans had stood at rs 96.20 trillion and deposits at rs 124.83 trillion",positive
pnb housing finance cuts lending rates by 15 bps for existing customers. the company offers its retail customers housing and non-housing loans,negative
"lockdown 3.0: banks may need more regulatory support amid covid-19 crisis. with credit cost expected to increase by 200-350 bps across banks, asset quality may deteriorate to fy18 levels",positive
"covid-19 crisis: its time for concrete revival plan, says sbi chairman. rajnish kumar said, a certainty on regulatory stance, and support that may be coming from the government, is required as we are .",positive
yes bank auditor red-flags multiple breaches of rbis norms in fy20. bank sets aside rs 334 cr for expected penalty for slr breach,negative
"public sector banks sanctioned rs 5.66 trn in loans during march-april: fm. during march-april 2020, psbs sanctioned loans worth rs 5.66 lakh cr for more than 41.81 lakh accounts",neutral
"bigger rise in cash in circulation in jan-apr than entire 2019: rbi. the rise in currency in circulatiom is perplexing when economic activity has nosedived. generally, cic should rise in tandem with .",positive
rbl banks pre-tax profit declines 58% in q4 over higher provisioning. the bank saw a healthy growth of 37 per cent in its operating profit at rs 765 crore compared to rs 560 crore a year ago.,negative
"sbi cuts lending rate by 15 bps, launches scheme for senior citizens. the state bank of india (sbi) has introduced a special deposit scheme for senior citizens with a higher interest rate",neutral
"microfinance institutions on a knife-edge with collections taking a big hit. with collections taking a big hit, microfinance institutions will be put through the wringer, reports raghu mohan",negative
"covid-19: pnb opens emergency credit line for msmes to enhance liquidity. there is a facility of standby line of credit for msmes as well as pnb covid-19 emergency credit facility (pnb-cecf), the bank .",positive
"yes bank posts rs 4,766-crore pre-tax loss in q4; gross npas at 16.8%. the lender had psoted a pre-tax loss of rs 2,338.31 crore in the same quarter of previous financial year",negative
sbi to grant moratorium to nbfcs on case-by-case basis amid covid-19 crisis. considers 25 fresh credit proposals from shadow banks,neutral
delinquency in credit card industry improved by 5 bps in 2019: report. the outstanding portfolio of private banks in the credit card space has increased by 59 per cent year-on-year while other issuers .,positive
"large stimulus may attract sovereign rating downgrade, say experts. debt of centre and states combined is over 70% of gdp already; country is currently just a notch above junk",negative
covid-19 impact: loss of fee income likely to add to lenders woes. muted lending and subdued cross-selling amidst extended lockdown to hurt fee income and earnings,negative
delinquencies in the credit card industry improved by 5 bps in 2019. private banks put up a better show than other card financiers,positive
"axis banks q4 loss reflects rise in systemic risks in banking sector: s&p. axis credit costs for the quarter ended march 31, 2020 are higher than anticipated, but some of it is precautionary",negative
"slowdown blues: incremental credit flow drops 64% to rs 6.04 trn in fy20. economic slowdown hits activity, adding fuel to the fire",negative
"west bengals slbc to increase rural loans from rs 4400 cr to rs 10000 cr. in addition, west bengal will also request the reserve bank of india (rbi) to increase the additional credit limit to msmes, to .",positive
"covid-19 impact: motor, health segments see decline in march premiums. the motor and health segments led the decline in premiums for the industry as the month saw premium fall by 9 per cent.",negative
covid-19 crisis: sbis 10% term loan customers opt for moratorium on emis. senior sbi executives said most of those seeking deferment are retail and micro and small enterprises and are hard-pressed for .,negative
"covid-19 crisis: rbi may extend moratorium on bank loans by 90 more days. suggestions from various quarters, including from indian banks association, have come for the further extension of moratorium .",negative
"ind-as increases provisioning pain for nbfcs amid covid-19 pandemic. covid-19 has led to lot of uncertainties including those pertaining to the income level of borrowers and hence, their loan .",positive
"allow restructuring of loans, ask raters not to downgrade: nbfcs to rbi. mutual funds say they didnt need to use their liquidity line fully",neutral
"as banker it is my first job to be safe: idfc first bank ceo v vaidyanathan. from now on, the system should open up systematically as peoples financial cushions could vanish soon, he says",neutral
"more than 90% ckp co-op bank depositors to get back money, says rbi. the rbi cancelled the licence of ckp co-op bank on april 28, and notified the cancelletaion on its website on saturday. there it .",neutral
"bob npas surge six-fold, indian bank sees four-times rise in 6 years: rti. the number of npa accounts rose from 2,08,035 as of march 31, 2014, to 6,17,306 as of december 2019",positive
"rbi guv das chastises banks not doing enough on lending, nbfc liquidity. relaxation likely on branch audit as guv meets bankers",negative
rbi cancels ckp co-op banks licence on adverse financial position. depositors to get up to rs 5 lakh under deposit insurance on liquidation,negative
"rbi governor discusses nbfc liquidity, moratorium with bank chiefs. the meetings were also attended by deputy governors and other senior officers of the central bank, rbi said in a statement on its .",neutral
"yes bank appoints neeraj dhawan as chief risk officer with immediate effect. dhawan will assume charge from saturday in place of ashish agarwal, the current chief risk officer, who will be transitioning to .",neutral
"fitch affirms axis banks idr at bb-plus with stable outlook, downgrades vr. fitch has cut its forecast for indias gdp growth in the financial year ending march 2021 (fy21) to 0.8 per cent from a .",neutral
"rbi governor shaktikanta das to hold meeting with bank chiefs today. the meeting will take stock of implementation of several steps announced by the rbi, including moderation in interest rate and .",neutral
"discretionary loans, cross-selling likely to reduce after moratorium. larger challenge is to communicate to borrowers the difference between moratorium and waiver, say lenders",positive
"idfc first bank to boost capital by rs 2,000 cr through preferential issue. capital infusion to be supported by idfc limited, icici prudential life, hdfc life, warburg pincus and bajaj allianz",positive
"regulatory benefits for banks helping mutual fund industry, says rbi. on april 27, the rbi had introduced the rs 50,000-crore liquidity line for the mf industry",positive
"covid-19: average card spend falls 25% as shopping, travel take back seat. with malls and shops closed, spending avenues are practically non-existent.",negative
"fitch downgrades viability rating for four banks on covid-19 impact. affirms issuer default ratings for seven banks including these four and bank of india, canara and pnb",negative
"nbfcs ask fm to offer credit guarantees to banks on loans extended by them. industry has also pitched for spv with initial funding from govt, to help refinance small and mid-sized nbfcs",neutral
"sidbi, nabard compete to lend to top mfis under rbis liquidity support. according to informal estimates, the two organisations together are looking to extend rs 7,000-8,000 crore in funding",neutral
"state bank of india completes promotion exercise, elevates 14 to dy md. given the extended lockdown, the bank extensively used its digital platform, including video conferencing, to carry out the .",positive
"one month of bank merger: coronavirus lockdown proves a dampener. on april 1, punjab national bank (pnb) took over oriental bank of commerce (obc) and united bank of india (ubi) to become the .",negative
"pnb housing finance ceo resigns, search on for successor in full swing. vyas is a senior banking professional with over 36 years of experience in banking across a range of diverse functions in both .",negative
"lockdown 2.0: coronavirus-hit units get rs 10,000 crore from banks. banks have built internal capacities for assisting companies, including micro, small & medium enterprises (msmes).",positive
indian bank sees new opportunities with larger footprint after merger. both the banks have come together amid the coronavirus (covid-19) lockdown and started working as a single bank with a larger .,positive
"over rs 68,600-crore loans of wilful defaulters written off, says rbi. the write-offs are technical or prudential in nature, which means the banks have made 100 per cent provisions against the loans",negative
"promoter, pe stake may go up in private banks; indusind, hdfc bank to gain. lenders are staring at unexpected asset quality losses due to the slowdown in economic activity after the countrywide lockdown.",positive
"axis bank set to acquire 29% stake in max life insurance for rs 1,592 crore. axis is looking to purchase around 55.61 crore shares of max life insurance at a price of rs 28.61 per share, but the estimate .",neutral
"banks borrow rs 2,000 crore from rbi under mutual fund liquidity window. the special repo window, under which banks can borrow up to 90 days to extend loans or buy debt papers of mfs, remains open till .",neutral
"rbi opens rs 50,000-crore special liquidity window to support mutual funds. according to the available data, the credit risk fund category saw its assets under management (aum) dip by another 12 per cent .",neutral
credit disbursement: banks face pressure to avoid large-scale slippages. public sector bank executives point out that banks understand the need to provide critical support to borrowers hit by the .,negative
"indusind bank reports 18% yoy dip in pre-tax profits; sequentially down 76%. the lender reported a 45 per cent jump in net interest income at rs 3,232 crore in q4 fy20",negative
"rbi buys and sells bonds worth rs 10,000 crore in operation twist. bid and offer pattern shows a healthy market response",neutral
"yes bank scam: cbi gets custody of kapil and dheeraj wadhawan till april 29. the duo was arrested on sunday from a mahabaleshwar-based quarantine facility, nearly 50 days after they were booked in the case .",neutral
"govt needs clear entry and exit plan on fiscal expansion: shaktikanta das. banks unwilling to take on credit risk in their balance sheets beyond a point, says central bank governor",neutral
"rbi to open rs 50,000-cr special liquidity window to support mutual funds. the liquidity strains have intensified in the wake of redemption pressures related to closure of some debt mfs and potential .",neutral
"nbfcs foreign lenders face repayment risks as us dollar becomes stronger. covid has caused disruption in the domestic and global markets, enhancing the risk of default from the rise in cost of repayments .",positive
iba demands recast of loan accounts of small firms amid covid-19 crisis. the rbi had permitted a one-time restructuring of existing loans to gst-registered msme units,neutral
"from tata power to tvs, over 320 firms queue up for moratorium breather. piramal, tata power, and tvs group units figure in list",neutral
"after pay cuts in corporate sector, youth look to p2p platforms for loans. with no upper limit, interest rates in this sphere can go as high as 35 per cent. however, even with high interest rates, many .",neutral
forward premia slide as markets see dollar crunch despite crude oil mayhem. the forward premium comes down when the demand for the spot is more than the future dollar,negative
"covid-19 crisis: sbi to disburse rs 700 cr to msmes in mumbai by june. among all banks, sbi controls a market share of 22% in the msme lending",neutral
"currency in circulation continues to remain high amid covid-19 lockdown. currency in circulation (cic), in the fortnight ended april 10 stood at rs 49,554.30 crore",positive
"coronavirus impact: rbis tltro 2.0 gets cold-shoulder from banks. reluctant to lend to nbfcs, mfis in current situation",negative
"govt pushes lending, asks banks for daily reports of loans allowed: report. the finance ministry, in a letter dated april 17 and seen by reuters, asked banks to furnish detailed data on new loans, .",neutral
"weak economic outlook to give small finance banks more time to get listed. five small finance banks, including equitas sfb, are due for listing by 2021",negative
"covid-19 impact: banks ignore rbis tltro in order to avoid nbfc exposure. the latest auction was part of the tltro 2.0, through which rbi had planned to infuse up to rs 50,000 crore, to begin with.",neutral
mfin may pool securities to access funds for small mfis under tltro 2.0. credit enhancement would entail guarantee from bigger institutions in case of defaults up to a certain percentage,neutral
"sidbi to provide liquidity support to nbfcs, mfis with 90-day term loans. nbfcs and mfis have been hit on two fronts, with collections dipping due to the covid-19 lockdown, and the three-month moratorium .",neutral
"rbi to buy and sell rs 10,000 cr in bonds to manage its balance sheet. according to the latest available figures, the reserve bank of india had about rs 9 trillion worth of bonds on its books",neutral
"quick approval, grace period: medical insurance process eased amid covid-19. use instalments to increase cover; benefit from quick approvals",positive
arrears collection will be tricky. we need to understand the nature of the astronomical tax arrears figure of rs 9 trillion,neutral
hfcs: home alone. the burden of unsold inventory of over half a million housing units in the top 7 cities will worsen due to impact of the .,neutral
"nbfcs may fall by the wayside without a major forbearance package. even after the reserve bank of india permitted banks to offer a three-month moratorium to borrowers (of all hues), nbfcs .",negative
"rbi asks banks to continue with incentives on crop loans, govt to foot bill. many farmers couldnt visit banks to pay dues on short-term crop loans in the wake of the covid-19 lockdown and restrictions on .",positive
"fearing npas, banks shoot off notices to malls for loan repayment. banks want tenants to make payment in escrow accounts",negative
hdfc cuts prime lending rate by 15 bps; move to benefit home loan customers. the reduction in rate comes after the rbi provided a boost to the banking system through its policy measures and also introduced .,positive
rbi extends deployment time limit to 45 days from 30 under tltro 2.0. the extension has been granted based on the feedback received from banks and taking into account the disruptions caused by .,neutral
icici bank confirms exposure to singapore-based oil trader hin leong. the bank did not elaborate the extent of its exposure and the steps it is taking to protect its interest,neutral
singapores caladium ups stake at bandhan bank by 1% via market purchases. it now holds 72 million shares in the lender,positive
"moratorium may lead to greater build-up of credit losses for banks: moodys. asias banking sector profitability will also decline from deteriorating asset quality and lower net interest margins, said .",negative
"icici bank seeks impounding of ships operated by hlt unit ocean tankers. the tankers, wu yi san and chang bai san, were carrying cargoes financed by icici, the source said, adding the bank had about .",negative
rbis liquidity support to nbfcs negligible: emkay global research. the rbi has so far not provided any clarity on whether banks will grant moratorium to the shadow lenders on the loans they have .,neutral
covid-19 impact: rbi increases centres wma limit sharply to rs 2 trillion. ways and means advances (wma) are temporary liquidity line given by the central bank to the government to meet short-term .,positive
"covid-19: post paycuts, young salaried look up to p2p platforms for loans. with no upper limit, the interest rates in the platform can go as high as 35 per cent, on a reducing balance",neutral
"brookfields equity infusion crucial for indostar capital in q1 fy21: care. besides challenges faced by wholesale nbfc in particular, the credit costs (amount to be provided for stressed assets), are .",positive
"nbfcs stare at 30-70% fall in fy21 earnings due to coronavirus pandemic. according to an edelweiss report, rs 1 trillion non-convertible dentures (ncds) and rs 1.2 trillion commercial papers (cps) are .",negative
"kotak mahindra bank to consider raising equity capital. on a standalone basis, as of december quarter, the lender had a capital adequacy ratio of 18.2 per cent, with tier 1 capital at .",neutral
"nabard to review fundings of regional rural banks, co-op banks on april 20. to tap rbi refinance window for funding to rrbs etc",neutral
"reopening of services to depend on permission from local authorities: nbfcs. although the government has allowed nbfcs, hfcs to start operations, they have not allowed resumption of operations in hotspots .",neutral
rbi may cap reverse repo rate to ensure liquidity translates into credit. lenders to face central banks censure; board meet in may seen leading to fresh measures,neutral
"rbi moratorium: 10% provisioning may shave rs 35,000 cr off bank profits. banks will have to categorise the moratorium loans as special mention accounts (sma) wherein loans are in the 0-90 days overdue .",negative
"rbis steps for nbfcs may not boost credit flow to broader economy: moodys. on friday, the rbi said it will conduct the second tranche of targeted long-term repo operation (tltro 2.0) for an aggregate .",positive
"hdfc bank board finalises aditya puris successor, waits for rbi nod. it is one of the most coveted jobs in the indian banking sector and market watchers are keenly awaiting who will be the chosen .",neutral
"punjab & sind bank declares golden jubilee hotels as fraud account. golden jubilee hotels pvt ltd is a public-private partnership (ppp) with the department of tourism and youth advancement, tourism .",negative
"covid-19 crisis: each bank to decide on granting moratorium to nbfcs. however, there was no clarity on whether the finance companies that borrow from banks would get the option to delay payments to .",neutral
"hdfc banks pbt rises 2.5% to rs 9,174 crore; makes higher provisions. it had reported a pre-tax profit of rs 8,954.38 crore in the same period last financial year (q4fy19).",positive
iba to discuss the issue of giving a moratorium to nbfcs on saturday. a senior executive of a public sector bank said the ibas management committee meeting would discuss the issue of giving a .,neutral
"rbi gives nbfcs more time to restructure commercial real estate loans. unless demand revives, industry experts say the move may not be very effective",positive
muthoot finance to re-open all branches across india from april 20. the branches will function as usual and will adhere to all instructions laid down by the state governments for corporates .,neutral
"rbi promises liquidity support to nbfcs, mfis dealing with cashflow issues. rbi has put the ball in banks court on the moratorium issue",positive
"covid-19: msmes cautiously welcome rbi measures, exporters want more. calls for economic package for distressed sectors continue",positive
"rbi steps increase lending, but sector-specific package must: bankers. rbi by reducing reverse repo rate by 25 basis points has sent clear signals to deploy that money - either by investing markets .",neutral
"rbi has made life a bit easier for nbfcs, mfis amid covid-19 pandemic. the rbi has indicated that it expects inflation to come down by september, which means that more rate cuts are in the offing",positive
"rbi measures sufficient, not substantial; guv doing balancing act: experts. rbi governor is walking a tightrope, says a former chief statistician",neutral
"covid-19: rbi slashes reverse repo rate by 25 bps, no change in repo rate. earlier, the rbi had reduced the repo rate to a 15-year low of 4.40 per cent by announcing a steep cut of 75 basis points on .",negative
"covid-19 impact: banks raise concern over fresh npas of rs 50k crore. the banks are expected to start credit operations from april 20, in a bid to help a staggered restart of the economic activities",negative
"default-wary banks say wont use rbi funds for low-rated companies. the first tltro facility took place on march 27, and so far rs 1 trillion has already been deployed.",negative
"lenders want more time to finalise working capital needs of large firms. a senior state bank of india (sbi) executive said in the case of large corporates, where there is consortium and social banking, .",neutral
"decoding the bullishness on icici bank as other lenders follow caution. all analysts tracking it are optimistic on the stock, which hasnt seen any downgrade so far",positive
banks to seek extension of moratorium on loan repayments beyond june. cii has sought an increase in credit limits for all regular banking accounts by 25 per cent,neutral
"covid-19 outbreak, yes bank rescue make small banks vulnerable: moodys. public trust in public sector banks will remain strong, underpinned by a perception of strong government protection for them, .",neutral
"rbi wants banks to take call on package, moratorium extension for nbfcs. the approach, according to people familiar with the rbi, is that the regulator can only enable the banks to take such commercial .",neutral
"indian banks issue gag orders to employees over overcrowding: reports. some branch staff have complained on social media of the difficulty in imposing social distancing in such conditions, earning a .",negative
low consumption deepens sbi cards woes as covid-19 lockdown gets extended. worsening business conditions and sell-off by anchor investors have taken the stock southward,negative
private lenders may lose deposits to psbs due to yes bank bailout: report. moodys said the yes bank episode places the countrys financial system on alert and the rescue in itself exposes weaknesses .,negative
covid-19 impact: moodys takes rating action on three indian nbfcs. muthoot finances ba2 cfr is affirmed and its outlook changed to negative from stable.,neutral
nbfc association to rbi: one-time loan restructuring need of the hour. fidc has asked the central bank to extend the facility to all customer loans,neutral
adb triples financial aid for members to $20 billion to fight virus. the asian development bank said it has also approved measures to streamline its operations for quicker and more flexible delivery .,positive
"deposits from microbanking customers continue to be strong: bandhan bank. the companys collection efficiency pan-india for the period from january 1, 2020 till march 21, 2020 stands at 98.7 per cent",positive
"max life insurance, yes bank extend bancassurance partnership for 5 years. max life insurance is a joint venture between max financial services ltd and mitsui sumitomo insurance",positive
"bandhan banks fy20 deposits rise 32%; 60% jump in loans and advances. loans and advances jumped by 60 per cent to rs 71,825 crore during 2019-20, from rs 44,776 crore the year before.",positive
china central bank hikes stake in hdfc amid a sharp correction in shares. sources say pboc may have increased its stake by 0.2 percentage points in march,negative
rbi to tighten private banks succession planning with stricter timeline. ironclad succession process could weigh on extensions for current heads,neutral
"post merger, pnb gets irdai nod to retain stake in two life insurance cos. pnb also has a tie up with life insurance corporation of india (lic) for selling its products through the banks branches",neutral
"rbi should start buying corporate bonds to provide liquidity: deepak parekh. according to him, interest rates will go down further, but banks must pass them on to companies.",neutral
covid-19 woes: nbfc sector staring at another bout of liquidity challenge. most banks are yet to decide on giving moratorium to shadow lenders,negative
plea in sc challenging rbi circular on 3-month moratorium on loan repayment. it had said that repayment schedule for such loans as also the residual tenor would be shifted across the board by three months .,negative
as many as 10 mn borrowers cant benefit from moratorium. heres why. these investors are yet to approve the moratorium on underlying loans and reschedule most ptc repayments,neutral
nbfcs have to repay debt worth rs 1.75 trillion by june 2020: crisil. many finance companies are already facing a liquidity challenge after the il&fs debacle.,neutral
"coronavirus outbreak: bank credit growth falls sharply to 6.1% in fy20. deposit accretion activity also moderated in fy20 to 7.9 per cent from 10 per cent in fy19, according to reserve bank of india .",negative
"public sector banks overtake private banks in fresh loan sanctions. private sector lenders have been leading on this front for some time, mostly leveraging on retail credit.",neutral
"bank credit growth slumps to 5-decade low of 6.14% in fy20 over low demand. bank advances growth in fy20 was the slowest since the fiscal ended march 1962, when loans had grown by 5.38 per cent",negative
nbfcs to face liquidity crunch on lack of clarity on rbi moratorium: crisil. rbi had announced a relief package which included a three-month moratorium on payment of all term loans outstanding as on march .,negative
"coronavirus impact: credit growth likely to remain modest, says rbi. mpc report says better transmission of rates would remain priority",positive
"bank of baroda trims mclrs by 0.15% across tenors; cuts term deposit rates. among other tenors, the mclrs from overnight to six month loans have been cut by 0.15 per cent each in the range of 7.40-7.85 per .",negative
covid-19: retail lending may not remain steady source of business for banks. banks and finance companies may do more lending business in the retail segment on the digital platform,neutral
"irdai rejects general insurers call for blanket easing of solvency margins. however, it said specific cases would be considered on merit",positive
"covid-19 hangs over future like spectre: rbi in monetary policy report. while efforts are being mounted on a war footing to arrest its spread, covid-19 would impact economic activity in india directly .",neutral
"rbi to examine buyback of outstanding amount of rs 84,574 cr in at-1 bonds. could disallow retail investments directly and through mfs in the instrument",neutral
irdai grants exemptions to merged banks on corporate agency matters. irdai has said the acquiring bank can retain the existing certificate of registration (cor) to act as a corporate agent and .,neutral
"idbi bank plans to raise rs 7,500 cr via rupee bond in current fiscal. the board of directors, at its meeting held on wednesday, april 8, 2020, has approved the rupee bond borrowing limit of rs 7,500 .",positive
"cash-strapped dhfl not to make any payment to lenders, bondholders. the corporate insolvency resolution process (cirp) was initiated against the debt-ridden company as per the provisions of the .",neutral
"nbfc-mfis seek clarity from rbi on 3-month moratorium on loans. rbi seeks data on drawdowns, bank loans, exposure to ncds and cps",neutral
"sbi reduces mclr by 35 bps, cuts savings rate by 25 bps on all deposits. sbi rate cut: the savings rate has been reduced to 2.75 per cent from 3 per cent",positive
"rush hour and tougher questions ahead for both mint road and banks. piecemeal regulatory forbearance will not go far and tougher questions will be asked of both mint road and banks, reports raghu .",negative
"coronavirus crisis to hit indian, chinese, indonesian banks hard, says s&p. the credit cost, amounts set aside for bad and stressed loans, for the indian banking system will rise to 2.8 per cent in .",negative
"kotak mahindra bank deposits grow 20% yoy to rs 2.59 trillion in q4. on a sequential basis, the deposit base has grown 12 per cent over december 2019",positive
covid-19 impact: confusion over moratorium norms hit smaller mfis hard. many are worried about not being able to meet their loan obligations this month; several either have started defaulting or are .,negative
"covid-19: amid economic slump, banks credit costs, npas to rise in 2020. the report noted that an additional usd 300 billion spike in lenders credit costs and a usd 600 billion increase in (npas) will .",positive
"covid-19 relief: staggered 180-day bad-loan breather on cards for banks. rbi may allow relaxation in delinquency period, go easy on additional collateral requirements",neutral
"pnb looks to tap market in q3fy21; may raise capital via fpo, rights issue. the government provided rs 16,091 crore to pnb and rs 1,666 crore to united bank of india in september for enhancing the capital .",neutral
hdfc banks advances rise 21% in march quarter; deposits go up 24%. the deposit base of the private sector lender stood at rs 11.46 trillion in q4fy20 compared to rs 9.23 trillion in the same .,positive
moodys puts indusind banks issuer ratings on review for downgrade. moodys revises outlook for icici bank and axis bank to negative,negative
"rbi shortens forex, money market trading hours amid coronavirus lockdown. apex bank announces change in market timing, trading hours to function from 10 am to 2 pm",negative
"sbi warns employees of action over social media posts against bank. the move has met with criticism by a large section of sbi employees, who called it an attempt to muzzle free speech and .",negative
covid-19 relief: citi bank releases faq on deferred emis and its impact. rbi had ordered a moratorium of three months on emis,neutral
coronavirus impact: rating agencies see more pain for banks and nbfcs. spike in npas will be reflected over the next few quarters,negative
why the three-month moratorium on your home loan emi may not be a good idea. many lenders also advised borrowers not to make use of the moratorium offer in case they were in a position to pay their .,negative
"covid19: banks, nbfcs to see increase in stressed assets in fy21, says icra. the spike in reported non-perfoming assets (npas) would be reflected over the next few quarters, rating agency icra said",positive
"covid-19 relief: hdfc bank releases faq on deferred emis and its impact. here is an faq by hdfc bank, explaining how the stipulation by rbi will impact its customers",neutral
covid-19 relief: sbi relaxes payment timeline for one time settlement. the bank said it would not charge any interest on the amount for this extended period,neutral
"covid-19 relief: you can defer 3 emis but that may be a very costly option. sbi informed customers that in some cases, deferring 3 emis on a home loan may force the borrower to pay 8 more emis",negative
rbi moratorium on term and working capital loans may hurt business. corporates may end up paying four months interest on their loans together.,negative
"emi moratorium: no big gains for borrowers, banks to charge interest later. experts feel that the three-month moratorium on repayment on loans to help people fight the impact of coronavirus seems to be .",neutral
indian bank allots 520.5 mn shares to allahabad bank shareholders. the bank is in the process of filing listing applications with the stock exchanges,neutral
most private banks choose opt-in option on loan repayment moratorium. largest private sector lender hdfc bank said it would encourage customers with adequate funds to continue repayments to avoid the .,neutral
